nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
De Luca,A,Pc,CRE,1,7.0,10.0,1,0,1,0,0,0,0,2025-26
Lukaku,A,Pc,NAP,1,7.0,9.5,1,0,0,0,0,1,0,2025-26
Malen,A,A,ROM,18,6.72,8.97,14,0,3,0,2,1,0,2025-26
Martinez L.,A,Pc,INT,30,6.42,8.25,17,0,0,0,6,4,0,2025-26
Thuram,A,Pc,INT,29,6.43,7.95,13,0,0,0,6,2,0,2025-26
Dimarco,D,E,INT,35,6.6,7.64,7,0,0,0,17,3,0,2025-26
Calhanoglu,C,M;C,INT,22,6.52,7.64,9,0,4,0,4,7,0,2025-26
Belotti,A,Pc,CAG,4,6.12,7.62,2,0,1,0,0,0,0,2025-26
Scamacca,A,Pc,ATA,22,6.18,7.55,10,0,2,0,1,2,0,2025-26
Hojlund,A,Pc,NAP,33,6.21,7.44,12,0,1,0,5,1,0,2025-26
Douvikas,A,Pc,COM,36,6.18,7.38,14,0,1,0,1,0,0,2025-26
Davis K.,A,Pc,UDI,30,6.32,7.37,10,0,4,0,4,5,0,2025-26
Vlahovic,A,Pc,JUV,18,6.14,7.31,7,0,1,0,0,0,0,2025-26
Paz N.,C,T;A,COM,35,6.37,7.3,12,0,0,0,5,5,0,2025-26
Yildiz,A,A,JUV,35,6.39,7.3,10,0,1,0,6,2,0,2025-26
McTominay,C,C;T,NAP,33,6.39,7.26,10,0,0,0,2,1,0,2025-26
De Bruyne,C,T,NAP,17,6.26,7.24,5,0,3,0,2,1,0,2025-26
Santos A.,C,W;A,NAP,13,6.35,7.23,4,0,0,0,0,1,0,2025-26
Kostic,C,E;W,JUV,10,6.2,7.2,3,0,0,0,1,1,0,2025-26
Krstovic,A,Pc,ATA,32,6.16,7.19,10,0,0,0,5,4,0,2025-26
Berardi,A,A,SAS,26,6.31,7.19,8,0,2,0,4,2,1,2025-26
Boga,A,W;A,JUV,13,6.19,7.15,4,0,0,0,1,1,0,2025-26
Baturina,C,T,COM,25,6.3,7.14,6,0,0,0,3,0,0,2025-26
Simeone,A,Pc,TOR,32,6.08,7.09,11,0,0,0,0,1,0,2025-26
Pulisic,C,T;A,MIL,27,6.15,7.07,8,0,0,0,4,0,0,2025-26
Esposito F.P.,A,Pc,INT,31,6.26,7.02,7,0,0,0,3,1,0,2025-26
Bonazzoli,A,A,CRE,35,6.16,7.01,10,0,3,0,2,4,0,2025-26
Laurientè,A,A,SAS,37,6.23,6.99,7,0,0,0,9,4,0,2025-26
Rabiot,C,C;T,MIL,29,6.33,6.98,6,0,0,0,4,4,1,2025-26
Berisha M.,C,C;T,LEC,12,6.17,6.92,2,0,0,0,3,0,0,2025-26
Da Cunha,C,C;W;T,COM,35,6.34,6.91,6,0,4,0,4,4,0,2025-26
Esposito Se.,A,A,CAG,36,6.26,6.88,7,0,1,0,4,6,0,2025-26
Raspadori,A,A,ATA,13,6.12,6.88,3,0,0,0,1,0,0,2025-26
Atta,C,C,UDI,32,6.36,6.88,5,0,0,0,3,3,0,2025-26
Adzic,C,C;T,JUV,4,6.12,6.88,1,0,0,0,0,0,0,2025-26
Elphege,A,Pc,PAR,8,6.0,6.88,2,0,0,0,1,0,0,2025-26
Nkunku,A,A,MIL,26,5.94,6.87,7,0,5,0,3,0,0,2025-26
Leao,A,A,MIL,28,5.88,6.86,9,0,2,0,3,5,0,2025-26
Zambo Anguissa,C,M;C,NAP,18,6.17,6.86,4,0,0,0,1,1,0,2025-26
Ferguson E.,A,Pc,ROM,14,6.11,6.86,3,0,0,0,2,1,0,2025-26
Neres,C,W;A,NAP,16,6.19,6.84,3,0,0,0,3,3,0,2025-26
Bonny,A,Pc,INT,27,6.15,6.83,5,0,0,0,4,1,0,2025-26
Soulè,A,A,ROM,32,6.12,6.83,6,0,0,0,5,1,0,2025-26
Castellanos,A,Pc,LAZ,11,6.09,6.82,2,0,0,0,3,2,0,2025-26
Bremer,D,Dc,JUV,26,6.33,6.81,4,0,0,0,3,5,0,2025-26
Zielinski,C,C;T,INT,30,6.25,6.8,6,0,1,0,2,3,0,2025-26
Bowie,A,A,VER,14,5.96,6.79,4,0,0,0,0,1,0,2025-26
Pedro,A,A,LAZ,23,6.13,6.78,5,0,2,0,2,4,0,2025-26
Kilicsoy,A,A,CAG,16,6.03,6.78,4,0,0,0,0,1,0,2025-26
Kean,A,Pc,FIO,26,5.88,6.77,8,0,2,0,1,4,0,2025-26
Dovbyk,A,Pc,ROM,13,6.0,6.77,3,0,0,0,1,0,0,2025-26
Zaniolo,C,T;A,UDI,31,6.26,6.77,5,0,0,0,5,8,0,2025-26
Orsolini,C,W;A,BOL,34,6.06,6.76,10,0,4,0,1,2,0,2025-26
Dybala,A,A,ROM,21,6.26,6.74,2,0,0,0,7,0,0,2025-26
Barella,C,C,INT,34,6.28,6.71,3,0,0,0,9,7,0,2025-26
Conceicao,C,W;A,JUV,30,6.28,6.7,3,0,0,0,5,3,0,2025-26
Strefezza,C,W;A,PAR,14,6.21,6.68,2,0,0,0,2,3,0,2025-26
Messias,C,C;W,GEN,19,6.18,6.68,3,0,1,0,1,1,0,2025-26
McKennie,C,M;C,JUV,34,6.13,6.68,5,0,0,0,6,5,0,2025-26
Modric,C,C,MIL,33,6.45,6.67,2,0,0,0,3,4,0,2025-26
Rodriguez Je.,A,W;A,COM,28,6.25,6.66,2,0,0,0,8,3,1,2025-26
Vlasic,C,T,TOR,37,6.03,6.66,8,0,5,0,3,7,0,2025-26
Bisseck,D,Dc,INT,23,6.22,6.65,3,0,0,0,2,2,0,2025-26
Pellegrino M.,A,Pc,PAR,37,5.99,6.65,9,0,1,0,0,5,0,2025-26
Adams C.,A,A,TOR,32,5.98,6.64,6,0,0,0,3,0,0,2025-26
Isaksen,C,W;A,LAZ,27,6.04,6.63,5,0,0,0,1,0,0,2025-26
Konè I.,C,M;C,SAS,35,6.19,6.63,6,0,0,0,0,3,1,2025-26
Mandragora,C,M;C,FIO,34,6.04,6.62,7,0,1,0,2,7,0,2025-26
Pavlovic,D,Dc,MIL,34,6.24,6.62,5,0,0,0,0,4,0,2025-26
Pinamonti,A,Pc,SAS,34,5.88,6.62,9,0,0,0,3,2,1,2025-26
